Gene_Symbol,ES3
CDK14,0.408485772
SEC61A1,0.812057927
PPP1R12A,1.785721244
RASGRF1,-0.847461902
CAMK2B,-0.871055948
CROCC,-0.34488402
POLR3E,1.720199984
ATP2B4,-0.351975623
RIOK2,0.698139584
YIPF1,1.328698894
TMEM48,0.814183696
DGKG,-0.867868765
FLYWCH1,-0.285486268
UNKL,-0.08280286
TBXAS1,-0.756549462
PARP12,-0.26978378
ALDH18A1,1.209685187
TARBP1,1.626775149
PET112,0.434016383
MXD1,-0.39486786
CDK17,0.018212883
PSD,-0.378897345
CTDP1,0.170392172
CSDA,2.812822811
STYK1,-0.748045596
WNK1,0.961134369
CCAR1,2.495994575
OGFR,-0.131625823
GNA15,-0.770526618
CREB3L3,-0.795089212
PIGV,0.37916812
PTPRU,-0.690040052
SNRNP40,1.78130508
RIMBP2,-0.666943818
COL11A1,1.426249172
QSER1,0.540241283
MPC1,1.074863265
ACAA1,0.767719536
BCAT1,1.042600715
HDAC7,-0.003902238
LZTS1,-0.801083642
PRDM6,-0.829258975
WNT8A,-0.909771261
SPAG4,-0.673094798
NCKAP1,2.63706644
MRPS35,2.309136318
GUCY1B3,-0.571915695
SFSWAP,0.180814717
TNK2,-0.763439295
MON2,0.63464372
CDH3,-0.366093425
ARSF,-0.885072608
GPBP1,1.032150574
DGAT2,0.430463632
ZNF112,-0.026445867
CS,-0.727037207
LTK,-0.735739435
MRPS24,2.655178384
ELMO2,0.06944371
WAPAL,0.736675274
VMP1,1.375653087
APPBP2,1.276312479
POLD1,0.430402718
SEZ6,-0.804251974
EIF4B,2.107428213
SLC6A16,-0.79031913
GLTSCR1,0.088126809
SPHK2,-0.510630352
RPL18,1.991608853
CA11,0.20803385
ISOC2,1.042606422
U2AF2,0.161192859
EPN1,0.670531669
MED29,-0.124561293
AHRR,-0.46384597
GSC2,-0.850474288
ZNF275,0.904157768
MTMR1,1.113837998
GPC1,-0.362401612
ADCK1,-0.280319017
HAGH,1.247912806
CASP8,-0.305755871
LIMCH1,-0.593097459
ASUN,1.495710583
TM7SF3,1.713508108
DLX3,-0.741205936
SPA17,0.719252241
TSPAN32,-0.854644099
WISP2,-0.692854144
DMRT3,-0.945886458
ST3GAL6,-0.505888797
ATP2C2,-0.828538664
NGFR,-0.20020649
CDON,-0.370260094
TAF2,1.399352609
HIPK2,0.684091636
TNPO3,1.424460759
RFXANK,1.90502264
TMEM161A,0.420766765
LPAR2,0.675964848
CTSA,1.217864998
SUGP2,0.512912975
SLC12A2,-0.203160199
SNX24,0.739748858
EYA2,-0.922273938
CNN2,-0.674709713
ABCA7,-0.670398939
SNCAIP,-0.797791713
DDX20,1.043758031
BTBD1,0.411945162
FAR2,1.175788667
BCAS1,-0.87888574
POU1F1,-0.975371514
CHI3L2,-0.733324466
SBNO2,-0.716725538
PMS1,0.638128624
HMG20B,1.064651977
CALCRL,-0.74478068
TAF11,1.114347308
ANKS1A,-0.233964082
AP3D1,1.972740525
ZNF76,-0.379144466
SLC9A3R2,-0.697703786
NTHL1,-0.281574538
UHRF1BP1,0.872857727
GNAI3,2.046620282
IPO5,2.013168334
OAT,1.648703678
WDR3,0.657201022
PKN2,1.18553213
WDR18,0.869965579
TRAM2,-0.139044876
NTN1,-0.76324903
GLP2R,-0.981958901
MCM10,-0.29831011
DGKA,-0.419688124
ERBB3,-0.999452193
ROPN1,-0.460080513
ANKRD44,-0.747951533
KARS,3.012103846
ADAT1,-0.335931794
PDIA5,1.01097748
TBC1D22B,-0.659898146
NDUFB4,2.905538631
SPEN,1.132101226
MYLK,0.180447094
